518400	-22179811.3506360	10580363.6339420	-10156712.3109457
519300	-23183220.9247002	10559322.2752832	-7517117.13045251
520200	-23891259.8229881	10514285.7019921	-4748207.56601301
521100	-24299123.1534736	10406082.2875752	-1897352.35616831
522000	-24410952.4290511	10196332.4409627	986339.968414033
522900	-24239643.1620131	9849135.69999265	3852866.87049158
523800	-23806317.3058904	9332684.71899799	6652215.94164410
524700	-23139476.0502756	8620738.99287179	9335270.90595479
525600	-22273862.2212346	7693895.03852021	11854721.0309979
526500	-21249074.6108826	6540596.66082892	14165953.9796836
527400	-20107988.2462074	5157838.72408158	16227911.2541993
528300	-18895044.2157632	3551530.20086619	18003885.2469977
529200	-17654479.5798287	1736496.66091341	19462237.6059891
530100	-16428571.5969583	-263881.892864731	20577020.1723011
531000	-15255970.6846891	-2418385.64677622	21328482.1305096
531900	-14170193.0842137	-4688993.91808345	21703450.1336323
532800	-13198337.2401772	-7032205.56485567	21695571.8826348
533700	-12360077.7896524	-9400585.36094424	21305417.7618393
534600	-11666978.3384415	-11744470.9388183	20540439.4365629
535500	-11122149.6107503	-14013768.2814907	19414788.5764819
536400	-10720263.9182002	-16159760.6909428	17949002.8555538
537300	-10447921.0730914	-18136856.7355057	16169569.9026023
538200	-10284345.7082437	-19904206.7166735	14108382.7840171
539100	-10202382.2136600	-21427124.3312746	11802102.7916715
540000	-10169741.7763996	-22678259.9150633	9291446.74118986
540900	-10150446.7671893	-23638483.3104661	6620416.66821083
541800	-10106411.2303381	-24297447.3254110	3835489.80065537
542700	-9999092.60312670	-24653816.2633151	984786.077694960
543600	-9791148.96064634	-24715157.4717937	-1882770.59938969
544500	-9448037.86570025	-24497506.7214206	-4718282.63094208
545400	-8939497.01663257	-24024630.0250585	-7473687.38850556
546300	-8240852.98011222	-23327014.8881843	-10102532.9148878
547200	-7334111.98892778	-22440632.6917118	-12560710.9927851
548100	-6208795.68772514	-21405520.7978957	-14807139.5254959
549000	-4862494.44665162	-20264237.9664446	-16804387.6057581
549900	-3301121.08556323	-19060249.7676829	-18519237.8667665
550800	-1538858.24589214	-17836301.9278263	-19923181.6938112
551700	402197.063569944	-16632839.0179363	-20992843.6269409
552600	2492678.27957981	-15486523.7043862	-21710331.8236022
553500	4696860.60702822	-14428908.0295527	-22063511.8087374
554400	6973807.37375414	-13485303.0071083	-22046200.9651508
555300	9278712.23282256	-12673886.3263343	-21658281.3620901
556200	11564391.4141323	-12005080.2956352	-20905728.6483845
557100	13782874.8620412	-11481223.4654366	-19800554.9110099
558000	15887041.1408744	-11096549.8178906	-18360663.6869785
558900	17832238.5996906	-10837479.1865529	-16609615.7781443
559800	19577834.6094404	-10683211.8983763	-14576305.2111831
560700	21088635.8509893	-10606609.7792754	-12294545.6543408
561600	22336125.7441901	-10575334.9450442	-9802568.87937744
562500	23299470.2249344	-10553207.5693485	-7142438.45276494
563400	23966250.1956733	-10501734.4784494	-4359383.74212589
564300	24332888.0117164	-10381752.3959896	-1501061.49221917
565200	24404746.1400627	-10155123.3884030	1383245.40997350
566100	24195888.3490931	-9786415.96417521	4243479.89843547
567000	23728507.0501253	-9244503.73186392	7029698.90220025
567900	23032034.1978850	-8504014.81157564	9692980.95393434
568800	22141966.8525177	-7546569.49037225	12186334.5330316
569700	21098451.4290527	-6361750.92723872	14465587.0151562
570600	19944682.1017403	-4947763.88207823	16490233.3140700
571500	18725178.1031497	-3311749.10908636	18224223.2755578
572400	17484011.1517670	-1469735.67516823	19636667.6932254
573300	16263057.4802341	553770.666361683	20702444.4846253
574200	15100348.6242881	2726548.62223339	21402689.0561061
575100	14028591.1886786	5009741.77711302	21725156.0998813
576000	13073918.3908119	7359213.55149625	21664443.8502329
576900	12254925.6683368	9727119.66579602	21222075.9885601
577800	11582029.6201814	12063631.5993335	20406440.6971811
578700	11057174.7626489	14318738.3924087	19232590.5954839
579600	10673896.8662494	16444051.5847480	17721911.2258960
580500	10417735.8599765	18394539.1488911	15901669.2035482
581400	10266976.2789110	20130118.7659724	13804453.9569728
582300	10193679.7243467	21617048.3140619	11467529.0755669
583200	10164962.3995526	22829061.4553522	8932110.60660882
584100	10144461.9075222	23748208.0796777	6242590.22745397
585000	10093931.4000364	24365372.4062829	3445721.12028312
585900	9974895.92789522	24680455.0885516	589783.696110074
586800	9750305.38427376	24702219.0818206	-2276252.82640157
587700	9386120.55507829	24447811.7767846	-5103558.45057820
588600	8852773.19688042	23941987.5237911	-7844247.16716873
589500	8126447.39947643	23216064.8365487	-10452147.3195749
590400	7190137.37194201	22306661.0317518	-12883528.1361621
591300	6034445.82996830	21254253.6929697	-15097774.5819025
592200	4658096.98570313	20101623.0823690	-17058004.0865141
593100	3068148.40519975	18892232.4659398	-18731619.8927609
594000	1279896.39404897	17668604.3177766	-20090796.7204580
594900	-683520.172954461	16470749.6101468	-21112895.1627268
595800	-2791802.78814984	15334704.9812237	-21780801.7431053
596700	-5008438.92657980	14291228.6221307	-22083191.8972790
597600	-7291877.75701462	13364700.3480135	-22014713.3581502
598500	-9596895.77886001	12572264.6660784	-21576087.5569690
599400	-11876105.7786700	11923247.8337925	-20774126.7881514
600300	-14081557.3113542	11418871.0847701	-19621665.0695682
601200	-16166373.1638720	11052272.5421441	-18137400.9381265
602100	-18086364.0947595	10808840.0395570	-16345650.9107562
603000	-19801563.7101581	10666846.3574841	-14276013.0692481
603900	-21277626.7640768	10598367.5299405	-11962941.2376390
